成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
一顆石頭, 23, 698134, 13945, 0, 0, 43085837, 84766, 12580, 484098, 29223, 司隸, 西八屁屁
光年之外, 35, 517067, 9541, 0, 0, 91372491, 76439, 28817, 168963, 26465, 司隸, 文青茶棧
老夫人, 38, 512487, 3265, 0, 0, 55192997, 21016, 29500, 619938, 17493, 司隸, 血流
無双丨諦聽, 16, 476511, 0, 0, 0, 55756491, 69460, 28953, 513050, 23093, 司隸, 文青茶棧
莫痴香, 137, 471199, 707, 0, 0, 14437306, 7877, 13092, 1360900, 18410, 河東, 西八屁屁
通天飛賊, 122, 467814, 0, 0, 0, 63586568, 22675, 10385, 402229, 20893, 司隸, 文青茶棧
司馬丨洛神, 11, 437983, 8763, 0, 0, 58228674, 106159, 20761, 541058, 29270, 司隸, 文青茶棧
柒柒兒, 81, 418732, 1969, 0, 0, 52433716, 50778, 13277, 207526, 21763, 司隸, 天機海賊
無双丨射波師, 33, 375908, 0, 0, 0, 82746873, 49241, 21227, 576600, 25450, 河東, 文青茶棧
蛙丨Yyy, 158, 363973, 0, 0, 0, 19795907, 4999, 851, 286768, 11422, 司隸, 西八屁屁
狠丨劉備, 86, 343170, 0, 0, 0, 16346860, 32605, 24206, 393483, 14210, 司隸, 血流
包龍星, 150, 320590, 0, 0, 0, 46622324, 10345, 4787, 317917, 15466, 河東, 血流
Foden, 10, 309681, 6195, 0, 0, 61678296, 118206, 21984, 182156, 25656, 司隸, 文青茶棧
無双丨王騎, 9, 307329, 6149, 0, 0, 76662524, 102498, 30425, 450749, 22063, 司隸, 文青茶棧
夜不凡, 26, 296529, 5932, 0, 0, 41829774, 56527, 23794, 571568, 23672, 司隸, 西八屁屁
聖域の爽哥, 112, 279339, 0, 0, 0, 46741911, 16309, 22538, 420870, 24440, 司隸, 血流
诸葛靖, 45, 273270, 5466, 0, 0, 79304857, 44955, 25442, 576428, 27613, 河東, 西八屁屁
龍匀, 42, 266812, 0, 0, 0, 79226248, 47650, 22963, 448891, 26840, 司隸, 文青茶棧
西八丨兔兔, 5, 242658, 4799, 0, 0, 76202969, 116318, 30679, 598956, 26436, 司隸, 西八屁屁
聚丨織田信長, 163, 233719, 2912, 0, 0, 80013681, 5951, 8277, 195294, 25640, 司隸, 血流
蒙古包, 67, 232619, 0, 0, 0, 37950230, 27030, 29110, 611539, 23423, 司隸, 文青茶棧
西八丨太曦, 80, 227980, 4561, 0, 0, 20799598, 27451, 22431, 145235, 16073, 司隸, 西八屁屁
一條根王, 84, 227013, 1211, 0, 0, 60017339, 22663, 22808, 570656, 22145, 司隸, 西八屁屁
百世經綸, 94, 215238, 0, 0, 0, 49009654, 10977, 25660, 710357, 24129, 司隸, 文青茶棧
抹茶天授, 172, 192964, 90, 0, 0, 11467558, 1435, 2100, 409107, 13363, 司隸, 西八屁屁
八卦丨羊羊兒, 69, 186833, 3738, 0, 0, 35032885, 40348, 17423, 2159078, 18744, 河東, 天機海賊
樂正小谷, 50, 186662, 0, 0, 0, 68911161, 56843, 26156, 543068, 24519, 司隸, 西八屁屁
北門城衛, 39, 184811, 3697, 0, 0, 94776219, 53378, 27283, 528271, 25000, 司隸, 文青茶棧
